prompt1,prompt2,0,1,2,3,4,5,6,7,8,9,10
"the shape silhouette of a fluffy cat, stacked plot of radio emissions from a pulsar, abstracted light refractions and stripy interference, making up a cat isolated on black, highly detailed high resolution, silk screen t-shirt design in the style of FELIPE PANTONE 4K","oil painting portrait of brock pierce, american flag on background, cowboy style. ",5.716915607452393,5.423689842224121,5.581583499908447,5.905531406402588,6.293394088745117,6.234160423278809,6.145295143127441,5.980104446411133,6.1486921310424805,6.3235392570495605,6.335479736328125
"the shape silhouette of a fluffy cat, stacked plot of radio emissions from a pulsar, abstracted light refractions and stripy interference, making up a cat isolated on black, highly detailed high resolution, silk screen t-shirt design in the style of FELIPE PANTONE 4K","todd solondz, high quality high detail graphic novel of todd solondz, clear sharp face of todd solondz, night, by lucian freud and gregory crewdson and francis bacon, ",5.716915607452393,5.6731791496276855,5.733847141265869,5.867185115814209,5.8238115310668945,6.0250630378723145,5.8995890617370605,5.2632222175598145,5.245304584503174,5.186012268066406,5.327340126037598
"A photo of vladimir putin the barbarian sitting on his throne, award winning photography, sigma 85mm Lens F/1.4, perfect faces","flat primitive drawing, front view, full face, aqueduct with 4 arches ",5.172039985656738,5.619892597198486,5.5428571701049805,5.648998737335205,6.079000473022461,4.887109756469727,5.328192234039307,6.095578670501709,5.832086086273193,5.782266616821289,5.734755992889404
cursed images ,intricate maze linework highly detailed optical illusion escher,4.026434898376465,4.144859790802002,3.714548110961914,4.151724338531494,4.949493408203125,4.911815643310547,5.335435390472412,5.005805492401123,5.629121780395508,5.084348201751709,5.100452423095703
ascii art of george costanza frustrated by a bad donut ,"A photo of vladimir putin the barbarian sitting on his throne, award winning photography, sigma 85mm Lens F/1.4, perfect faces",5.156830787658691,4.975812911987305,5.5272345542907715,5.544694900512695,5.583259582519531,5.232953071594238,6.406121730804443,6.063653945922852,5.489171504974365,5.551156044006348,5.172039985656738
The last thing a human sees before death,ascii art of george costanza frustrated by a bad donut ,4.308391571044922,3.761030673980713,4.313243389129639,3.8690223693847656,5.40814733505249,5.232216835021973,5.61582612991333,5.435232162475586,5.4651641845703125,4.760791778564453,5.156830787658691
elon troll face ,cursed images ,4.955508232116699,4.987928867340088,3.581298351287842,3.9937281608581543,3.8626461029052734,3.879702568054199,3.9961233139038086,4.241379261016846,3.5225133895874023,4.254921913146973,4.026434898376465
"president of belorussia, alexander lukashenko in style of sailor moon, anime, perfect faces, fine details","mandelbrot 3 d volume fractal mandala ceramic chakra digital color stylized an ancient white bone and emerald gemstone relic, intricate engraving concept substance patern texture natural color scheme, global illumination ray tracing hdr fanart arstation by sung choi and eric pfeiffer and gabriel garza and casper konefal ",5.355936050415039,5.167687892913818,5.858633995056152,5.3302154541015625,5.739776611328125,5.974807262420654,5.5082783699035645,5.461842060089111,5.6676740646362305,5.74484920501709,5.6575140953063965
"portrait of a splendid sad north korean woman from scary stories to tell in the dark in ibiza, spain with pearlescent skin and cyber yellow hair stronghold in the style of chalks by andre kohn, trending on 5 0 0 px : : 5, hdr, 8 k resolution, ray traced, screen space ambient occlusion : : 2, true blue color scheme ","very old and very detailed great canvas with wonderful gradient from warm to cold tones, multilayer last supper johannes itten and hiroshi nagai colors,, pattern of escher style 3 6 0 panorama with hieronymus bosch style bubbles, contrast of light and shadows, unfinished,, digital 4 k, super resolution ",6.145147323608398,5.9607930183410645,5.593125820159912,6.203603267669678,6.470425128936768,5.963817119598389,5.458112716674805,5.46822452545166,5.5865302085876465,5.5969038009643555,6.116523742675781
"willy wonka giving a tour inside his dogfood factory, horse guillotine, dancing oompa loompas covered in blood ",😏 Shrek,2.4173388481140137,2.224301338195801,3.0825881958007812,3.126753807067871,3.134303569793701,2.7228732109069824,2.9601330757141113,2.4293389320373535,5.757760524749756,5.42741060256958,5.193172931671143
a photo of an banana ,"a fibonacci sequence, cascading. retro minimalist art by jean giraud. ",5.134718418121338,5.389649868011475,5.2082839012146,5.301787853240967,4.955390930175781,5.544042110443115,5.247387409210205,5.099791049957275,5.2862467765808105,5.428344249725342,5.4373860359191895
Steve Buscemi as Willy Wonka,"a fibonacci sequence, cascading. retro minimalist art by jean giraud. ",5.686054229736328,5.599915981292725,5.378227710723877,4.8234639167785645,5.851559162139893,5.7324604988098145,5.595218658447266,5.277903079986572,4.662587642669678,5.221978187561035,5.4373860359191895
"beautiful studio photograph of colorful postmodern portrait sculpture of adam sandler smiling, beautiful symmetrical face accurate face detailed face realistic proportions, made of watercolor - painted plaster on a pedestal by ron mueck and matthew barney and greg rutkowski, hysterical realism intense cinematic lighting shocking detail 8 k ","mandelbrot 3 d volume fractal mandala ceramic chakra digital color stylized an ancient white bone and emerald gemstone relic, intricate engraving concept substance patern texture natural color scheme, global illumination ray tracing hdr fanart arstation by sung choi and eric pfeiffer and gabriel garza and casper konefal ",6.064558506011963,6.052106857299805,5.820070743560791,5.806739330291748,5.814313888549805,5.684642314910889,5.245322227478027,5.5073137283325195,5.553215026855469,5.849842071533203,5.6575140953063965
ben shapiro destroys the leftists with facts an logic ,the funniest thing I've ever seen!,2.3177742958068848,2.0751147270202637,2.916109085083008,2.4273359775543213,2.018115997314453,2.9593682289123535,2.475282669067383,2.2647829055786133,2.200869560241699,2.1282358169555664,2.967592477798462
the funniest thing I've ever seen!,elon troll face ,2.967592477798462,2.8439714908599854,1.7655284404754639,2.3229784965515137,2.9166040420532227,4.119637489318848,3.224888801574707,3.31998348236084,3.642942428588867,3.4138102531433105,4.955508232116699
"oil painting portrait of brock pierce, american flag on background, cowboy style. ","mandelbrot 3 d volume fractal mandala ceramic chakra digital color stylized an ancient white bone and emerald gemstone relic, intricate engraving concept substance patern texture natural color scheme, global illumination ray tracing hdr fanart arstation by sung choi and eric pfeiffer and gabriel garza and casper konefal ",6.335479736328125,6.39804744720459,6.258239269256592,6.431087970733643,6.366155624389648,6.6213812828063965,5.552728652954102,5.585785388946533,5.740429401397705,5.749992370605469,5.6575140953063965
elon's musk ,"Beans, what the fuck",5.114149570465088,4.873608112335205,4.966357707977295,4.9902472496032715,5.012731075286865,5.1553874015808105,4.14662504196167,4.415238857269287,4.790011882781982,3.779308795928955,4.980127334594727
intricate maze linework highly detailed optical illusion escher,illustration by mel ramos artstation hyper realistic 4 k poster ,5.100452423095703,4.913876056671143,5.347225666046143,5.413912296295166,5.725240230560303,5.505988597869873,6.0474090576171875,5.586578369140625,6.802985668182373,6.665008544921875,6.3629536628723145
"spongebob's house, 16 bit,",an object ,4.34598970413208,5.035161972045898,4.959797382354736,4.630721092224121,4.713629245758057,5.278231143951416,4.987629413604736,5.050228118896484,5.4567108154296875,4.969951152801514,4.908419609069824
"A human made of pizza, digital art","oil painting portrait of brock pierce, american flag on background, cowboy style. ",6.148899555206299,5.690120697021484,5.932032585144043,5.844979763031006,6.008371353149414,5.427328586578369,6.2142863273620605,6.365857124328613,6.000049591064453,6.4007673263549805,6.335479736328125
"oil painting portrait of brock pierce, american flag on background, cowboy style. ","A black hole with event horizon in the center with space around it, high detail, Junji Ito",6.335479736328125,6.305402755737305,6.297577381134033,6.247040271759033,6.226733684539795,6.152435302734375,6.034207344055176,5.541584491729736,4.749058723449707,5.311767101287842,5.253205299377441
"oil painting portrait of brock pierce, american flag on background, cowboy style. ","willy wonka giving a tour inside his dogfood factory, horse guillotine, dancing oompa loompas covered in blood ",6.335479736328125,6.402528762817383,6.187441825866699,6.153441905975342,6.154675006866455,6.008396148681641,5.846929550170898,5.181718826293945,5.761279106140137,5.2801642417907715,2.4173388481140137
"flat primitive drawing, front view, full face, aqueduct with 4 arches ","the shape silhouette of a fluffy cat, stacked plot of radio emissions from a pulsar, abstracted light refractions and stripy interference, making up a cat isolated on black, highly detailed high resolution, silk screen t-shirt design in the style of FELIPE PANTONE 4K",5.734755992889404,5.55433988571167,5.956353664398193,5.3939208984375,5.326210975646973,5.146897315979004,5.112389087677002,5.24209451675415,5.036136627197266,5.967278957366943,5.716915607452393
" warmly lit close up studio portrait of young angry! teenage Cosmo Kramer angrily singing, impasto oil painting thick brushstrokes by Cy Twombly and Anselm Kiefer , trending on artstation dramatic lighting Expressionism",Monkey Pointing a Gun at a Computer Meme,5.9879150390625,5.847620487213135,5.655379772186279,6.065256118774414,6.164356231689453,6.059946060180664,1.9840562343597412,2.394688129425049,2.697146415710449,2.2541303634643555,2.273573160171509
an object ,😏 Shrek,4.908419609069824,4.86101770401001,5.420141696929932,5.3212409019470215,5.033796310424805,5.149023056030273,5.563390731811523,5.312099933624268,5.616619110107422,5.193687438964844,5.193172931671143
"portrait of darth vader in the oval office. secret service. intricate abstract. intricate artwork. by tooth wu, wlop, beeple, dan mumford. octane render, trending on artstation, greg rutkowski very coherent symmetrical artwork. cinematic, hyper realism, high detail, octane render, 8 k, iridescent accents ","A black hole with event horizon in the center with space around it, high detail, Junji Ito",6.122062683105469,6.487308502197266,6.686489105224609,6.152277946472168,5.393566131591797,5.6650543212890625,5.528194904327393,5.685368061065674,5.567604064941406,5.58249044418335,5.253205299377441
"goddess made of ice long hair like a waterfall, full body, horizontal symmetry!, elegant, intricate, highly detailed, fractal background, digital painting, artstation, concept art, wallpaper, smooth, sharp focus, illustration, epic light, art by kay nielsen and zeen chin and wadim kashin and sangyeob park, terada katsuya ","very old and very detailed great canvas with wonderful gradient from warm to cold tones, multilayer last supper johannes itten and hiroshi nagai colors,, pattern of escher style 3 6 0 panorama with hieronymus bosch style bubbles, contrast of light and shadows, unfinished,, digital 4 k, super resolution ",6.377896785736084,6.52191162109375,6.396126747131348,6.682095527648926,6.9118523597717285,6.6520771980285645,5.373211860656738,6.35103178024292,6.195850372314453,6.2578816413879395,6.116523742675781
"spongebob's house, 16 bit,",Oh no,4.34598970413208,4.2402729988098145,3.654836654663086,3.9799022674560547,3.825863838195801,1.9607959985733032,2.277977466583252,2.060375928878784,2.053582191467285,2.0275864601135254,2.378148078918457
"A photo of vladimir putin the barbarian sitting on his throne, award winning photography, sigma 85mm Lens F/1.4, perfect faces","a fibonacci sequence, cascading. retro minimalist art by jean giraud. ",5.172039985656738,5.3203206062316895,5.371541976928711,5.838704586029053,6.250613212585449,6.3553266525268555,5.428922653198242,4.474327564239502,5.451630592346191,5.438002109527588,5.4373860359191895
"beautiful mannequin sculpted out of amethyst by billelis + lit with 3 d geometric neon + facing a doorway opening with neon pink geometric fractal light + flowering hosta plants!!!, moon + city of los angeles in background!! dramatic, rule of thirds, award winning, 4 k, trending on artstation, photorealistic, volumetric lighting, octane render ","A photo of vladimir putin the barbarian sitting on his throne, award winning photography, sigma 85mm Lens F/1.4, perfect faces",6.261218547821045,6.036996364593506,6.040745735168457,5.650848388671875,6.022334098815918,6.193971157073975,6.002289772033691,6.335770130157471,5.654334545135498,5.545955181121826,5.172039985656738
"Beans, what the fuck",illusory motion optical illusion ,4.980127334594727,3.2930073738098145,3.6536669731140137,4.766998767852783,4.852326393127441,4.617963790893555,5.062488555908203,4.46197509765625,5.200704097747803,5.020496368408203,4.987471580505371
"todd solondz, high quality high detail graphic novel of todd solondz, clear sharp face of todd solondz, night, by lucian freud and gregory crewdson and francis bacon, ","facial portrait of putin is a monster, movie poster in the style of ( ( ( ( drew struzan ) ) ) ) ",5.327340126037598,5.071572303771973,5.043533802032471,6.213026523590088,6.0034942626953125,5.888328552246094,5.781983852386475,5.8390655517578125,6.025900363922119,5.933204650878906,5.923344612121582
ben shapiro destroys the leftists with facts an logic ,Oh no,2.3177742958068848,2.514486074447632,2.0928854942321777,2.816532611846924,2.755751848220825,2.533018112182617,2.4138898849487305,2.6011338233947754,1.1314854621887207,1.9248151779174805,2.378148078918457
Steve Buscemi as Willy Wonka,Monkey Pointing a Gun at a Computer Meme,5.686054229736328,5.584108352661133,5.461813449859619,2.8623147010803223,3.119065761566162,2.8662238121032715,2.3587000370025635,3.3971219062805176,2.6704282760620117,2.9502859115600586,2.273573160171509
ascii art of george costanza frustrated by a bad donut ,"Beans, what the fuck",5.156830787658691,5.0083160400390625,5.428950309753418,5.6216840744018555,2.8048171997070312,2.4604854583740234,2.825315237045288,2.046642303466797,2.583932876586914,4.559471607208252,4.980127334594727
"spongebob's house, 16 bit,",dystopian cyberpunk mcdonald dictatorship,4.34598970413208,4.782973289489746,4.9909348487854,4.506944179534912,4.874988555908203,5.129370212554932,5.0864362716674805,4.938226222991943,5.011250019073486,4.61381196975708,5.162467956542969
"beautiful mannequin sculpted out of amethyst by billelis + lit with 3 d geometric neon + facing a doorway opening with neon pink geometric fractal light + flowering hosta plants!!!, moon + city of los angeles in background!! dramatic, rule of thirds, award winning, 4 k, trending on artstation, photorealistic, volumetric lighting, octane render ","bright psychedelic portrait of tom waits baking pizza, diffuse lighting, fantasy, intricate, elegant, highly detailed, lifelike, photorealistic, digital painting, artstation, illustration, concept art, smooth, sharp focus, art by John Collier and Albert Aublet and Krenz Cushart and Artem Demura and Alphonse Mucha",6.261218547821045,6.231569290161133,5.644260883331299,6.155675411224365,6.760578632354736,7.083254814147949,7.184674263000488,6.841540813446045,6.7939558029174805,6.5865302085876465,6.4641828536987305
intricate maze linework highly detailed optical illusion escher,"A human made of pizza, digital art",5.100452423095703,5.253542423248291,5.137470245361328,5.560477256774902,4.878878116607666,5.262937068939209,6.25545072555542,5.97953987121582,5.357552528381348,6.150994300842285,6.148899555206299
"oil painting portrait of brock pierce, american flag on background, cowboy style. ","goddess made of ice long hair like a waterfall, full body, horizontal symmetry!, elegant, intricate, highly detailed, fractal background, digital painting, artstation, concept art, wallpaper, smooth, sharp focus, illustration, epic light, art by kay nielsen and zeen chin and wadim kashin and sangyeob park, terada katsuya ",6.335479736328125,5.895048141479492,6.026554584503174,6.075552940368652,6.034395694732666,6.130680084228516,6.055267333984375,6.91898250579834,6.612272262573242,6.402195453643799,6.377896785736084
ascii art of george costanza frustrated by a bad donut ,"oil painting portrait of brock pierce, american flag on background, cowboy style. ",5.156830787658691,5.441884994506836,5.567044734954834,5.511390686035156,5.582530975341797,6.499392509460449,6.324874401092529,6.417917251586914,6.265427589416504,6.452728748321533,6.335479736328125
dystopian cyberpunk mcdonald dictatorship,an average human being ,5.162467956542969,4.703089237213135,4.716992378234863,4.948451042175293,3.882004737854004,4.226306915283203,3.6548209190368652,3.247377395629883,3.5281572341918945,3.7958431243896484,3.6142868995666504
vladimur putin on a magic the gathering card ,"president of belorussia, alexander lukashenko in style of sailor moon, anime, perfect faces, fine details",5.198878765106201,4.9438276290893555,4.916568756103516,5.310561656951904,4.577119827270508,4.6361565589904785,4.171799182891846,4.967189788818359,5.69837760925293,5.346625328063965,5.355936050415039
"oil painting portrait of brock pierce, american flag on background, cowboy style. ","spongebob's house, 16 bit,",6.335479736328125,6.3653106689453125,5.835903167724609,5.841150760650635,5.5297136306762695,5.544442176818848,5.048452377319336,4.839033603668213,4.703546524047852,4.739190101623535,4.34598970413208
"beautiful studio photograph of colorful postmodern portrait sculpture of adam sandler smiling, beautiful symmetrical face accurate face detailed face realistic proportions, made of watercolor - painted plaster on a pedestal by ron mueck and matthew barney and greg rutkowski, hysterical realism intense cinematic lighting shocking detail 8 k ","A photo of vladimir putin the barbarian sitting on his throne, award winning photography, sigma 85mm Lens F/1.4, perfect faces",6.064558506011963,5.980216979980469,5.627145290374756,5.644382476806641,6.031209468841553,6.013656139373779,6.038875579833984,5.7844624519348145,5.47001838684082,5.336989402770996,5.172039985656738
"oil painting portrait of brock pierce, american flag on background, cowboy style. ",an average human being ,6.335479736328125,6.184825897216797,5.937295913696289,5.837800025939941,5.691067695617676,6.007943630218506,5.509119510650635,4.804116249084473,4.623802185058594,4.414945125579834,3.6142868995666504
"bright psychedelic portrait of tom waits baking pizza, diffuse lighting, fantasy, intricate, elegant, highly detailed, lifelike, photorealistic, digital painting, artstation, illustration, concept art, smooth, sharp focus, art by John Collier and Albert Aublet and Krenz Cushart and Artem Demura and Alphonse Mucha","beautiful studio photograph of colorful postmodern portrait sculpture of adam sandler smiling, beautiful symmetrical face accurate face detailed face realistic proportions, made of watercolor - painted plaster on a pedestal by ron mueck and matthew barney and greg rutkowski, hysterical realism intense cinematic lighting shocking detail 8 k ",6.4641828536987305,6.603326797485352,6.437393665313721,6.803003787994385,6.876269340515137,6.0955963134765625,6.145981311798096,5.988689422607422,5.954563140869141,5.9803338050842285,6.064558506011963
"Shrek, horror, cursed images, spooky","portrait of darth vader in the oval office. secret service. intricate abstract. intricate artwork. by tooth wu, wlop, beeple, dan mumford. octane render, trending on artstation, greg rutkowski very coherent symmetrical artwork. cinematic, hyper realism, high detail, octane render, 8 k, iridescent accents ",3.9426798820495605,4.150921821594238,4.243891716003418,4.603184700012207,4.337942123413086,4.268651485443115,5.588656425476074,6.056342601776123,5.7608819007873535,6.171250820159912,6.122062683105469
"oil painting portrait of brock pierce, american flag on background, cowboy style. ","spongebob's house, 16 bit,",6.335479736328125,6.3653106689453125,5.835903167724609,5.841150760650635,5.5297136306762695,5.544442176818848,5.048452377319336,4.839033603668213,4.703546524047852,4.739190101623535,4.34598970413208
a photo of an banana ,"a portrait of an overwhelmed young man in a painting from stalenhag, 4 k, 8 k, hdr, artstation, concept art ",5.134718418121338,5.125114917755127,5.162929534912109,5.221303462982178,5.0743489265441895,6.2636399269104,6.679086208343506,6.897447109222412,6.771599769592285,6.828557014465332,6.5157036781311035
"portrait of darth vader in the oval office. secret service. intricate abstract. intricate artwork. by tooth wu, wlop, beeple, dan mumford. octane render, trending on artstation, greg rutkowski very coherent symmetrical artwork. cinematic, hyper realism, high detail, octane render, 8 k, iridescent accents ","a fibonacci sequence, cascading. retro minimalist art by jean giraud. ",6.122062683105469,6.249589443206787,6.220075607299805,6.019185543060303,5.833911895751953,5.223505020141602,5.437061786651611,5.238650321960449,5.83656644821167,5.338741302490234,5.4373860359191895
ben shapiro destroys the leftists with facts an logic ,"a fibonacci sequence, cascading. retro minimalist art by jean giraud. ",2.3177742958068848,2.411794424057007,2.8758888244628906,2.3363702297210693,2.8731207847595215,3.8093032836914062,4.6882195472717285,5.068897724151611,5.46123743057251,5.70368766784668,5.4373860359191895
"bright psychedelic portrait of tom waits baking pizza, diffuse lighting, fantasy, intricate, elegant, highly detailed, lifelike, photorealistic, digital painting, artstation, illustration, concept art, smooth, sharp focus, art by John Collier and Albert Aublet and Krenz Cushart and Artem Demura and Alphonse Mucha",illustration by mel ramos artstation hyper realistic 4 k poster ,6.4641828536987305,6.403618812561035,6.236508369445801,6.699808597564697,6.407806873321533,6.235671520233154,6.425999164581299,6.462879657745361,6.476558208465576,6.481234550476074,6.3629536628723145
The last thing a human sees before death,"Shrek, horror, cursed images, spooky",4.308391571044922,3.798623561859131,3.747190475463867,3.767828941345215,3.9982519149780273,4.181262493133545,4.170576095581055,4.496260643005371,4.327096462249756,4.0451154708862305,3.9426798820495605
"a portrait of an overwhelmed young man in a painting from stalenhag, 4 k, 8 k, hdr, artstation, concept art ","Beans, what the fuck",6.5157036781311035,6.885463714599609,6.706598281860352,6.662323951721191,6.458252906799316,6.407285690307617,4.618187427520752,4.267899990081787,3.851229667663574,3.570889472961426,4.980127334594727
"oil painting portrait of brock pierce, american flag on background, cowboy style. ",ben shapiro destroys the leftists with facts an logic ,6.335479736328125,6.222543239593506,6.120962619781494,6.1328444480896,6.340776443481445,5.837957859039307,5.638449668884277,4.083303928375244,3.1076788902282715,2.6318962574005127,2.3177742958068848
"willy wonka giving a tour inside his dogfood factory, horse guillotine, dancing oompa loompas covered in blood ","flat primitive drawing, front view, full face, aqueduct with 4 arches ",2.4173388481140137,3.779971122741699,4.167398452758789,4.306416988372803,4.183740139007568,6.113436698913574,6.003366470336914,5.8558759689331055,5.5235795974731445,5.6403422355651855,5.734755992889404
elon troll face ,dystopian cyberpunk mcdonald dictatorship,4.955508232116699,4.981879711151123,3.3533682823181152,3.4452333450317383,4.068499565124512,3.398674964904785,5.075070858001709,4.975299835205078,5.024489402770996,4.9722676277160645,5.162467956542969
"oil painting portrait of brock pierce, american flag on background, cowboy style. ","a portrait of an overwhelmed young man in a painting from stalenhag, 4 k, 8 k, hdr, artstation, concept art ",6.335479736328125,6.460140705108643,6.191311359405518,6.055342674255371,6.168034076690674,6.02140998840332,6.308318614959717,6.689329147338867,6.49635124206543,6.599981307983398,6.5157036781311035
elon troll face ,ascii art of george costanza frustrated by a bad donut ,4.955508232116699,4.853659629821777,5.0266337394714355,4.945554733276367,5.293206214904785,5.3517560958862305,5.390322685241699,5.47044038772583,5.034515380859375,4.895083904266357,5.156830787658691
"a fibonacci sequence, cascading. retro minimalist art by jean giraud. ",😏 Shrek,5.4373860359191895,5.564391136169434,4.967757701873779,4.879610061645508,5.042348384857178,5.31566047668457,4.834999084472656,4.905102252960205,4.698709487915039,5.232107162475586,5.193172931671143
Oh no,"flat primitive drawing, front view, full face, aqueduct with 4 arches ",2.378148078918457,2.7057666778564453,3.4060630798339844,4.720061302185059,4.480370044708252,5.243044853210449,5.139456272125244,4.8290228843688965,5.812404155731201,5.394077301025391,5.734755992889404
ben shapiro destroys the leftists with facts an logic ,intricate maze linework highly detailed optical illusion escher,2.3177742958068848,2.356504440307617,2.2049200534820557,2.2681772708892822,2.351027011871338,4.037701606750488,5.683809280395508,5.251691818237305,5.321624755859375,5.122522354125977,5.100452423095703
"oil painting portrait of brock pierce, american flag on background, cowboy style. ",illustration by mel ramos artstation hyper realistic 4 k poster ,6.335479736328125,6.394044399261475,5.934703826904297,6.4441304206848145,6.692844390869141,6.277710914611816,6.856720447540283,6.6469316482543945,6.730910778045654,6.832674026489258,6.3629536628723145
Steve Buscemi as Willy Wonka,"mandelbrot 3 d volume fractal mandala ceramic chakra digital color stylized an ancient white bone and emerald gemstone relic, intricate engraving concept substance patern texture natural color scheme, global illumination ray tracing hdr fanart arstation by sung choi and eric pfeiffer and gabriel garza and casper konefal ",5.686054229736328,5.481279373168945,5.362412929534912,5.477746963500977,5.96852970123291,5.086767196655273,6.224185943603516,5.585449695587158,5.820374488830566,5.7601494789123535,5.6575140953063965
